quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
223	0.5	75	75	1/4	1/4	3/4	2	1	1/8		1/8	1		3	57	1273
223	0.5	75	75	1/4	1/4	3/4	1	1	1/8		1/8	1		-1	65	1265
224	0.0	75	75	1/2	1/2	3/4	1	1	0	grace16	1/16	1		3	69	1266
224	1.0	75	75	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	1274
224	1.0	75	75	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	1274
224	1.0	75	75	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64	1270
224	0.5	75	75	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	1267
449/2	0.25	75	75	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	1268
899/4	0.25	75	75	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	1269
225	0.5	76	76	0	0	3/4	2	1	1/8		1/8	1		-1	53	1288
225	0.5	76	76	0	0	3/4	2	1	1/8		1/8	1		3	57	1288
225	0.25	76	76	0	0	3/4	1	2	1/16		1/16	1		-1	65	1286
901/4	0.25	76	76	1/16	1/16	3/4	1	1	1/16		1/16	1		0	72	1275
451/2	0.25	76	76	1/8	1/8	3/4	1	1	1/16		1/16	1		5	71	1276
903/4	0.25	76	76	3/16	3/16	3/4	1	1	1/16		1/16	1		-2	70	1277
226	0.25	76	76	1/4	1/4	3/4	1	1	1/16		1/16	1		3	69	1278
905/4	0.25	76	76	5/16	5/16	3/4	1	1	1/16		1/16	1		-4	68	1279
453/2	0.25	76	76	3/8	3/8	3/4	1	1	1/16		1/16	1		1	67	1280
907/4	0.25	76	76	7/16	7/16	3/4	1	1	1/16		1/16	1		-1	65	1281
227	0.0	76	76	1/2	1/2	3/4	1	1	0	grace16	1/16	1		3	69	1282
227	1.0	76	76	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	1289
227	1.0	76	76	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	1289
227	1.0	76	76	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64	1287
227	0.5	76	76	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	1283
455/2	0.25	76	76	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	1284
911/4	0.25	76	76	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	1285
228	0.5	77	77	0	0	3/4	2	1	1/8		1/8	1		-1	53	1303
228	0.5	77	77	0	0	3/4	2	1	1/8		1/8	1		3	57	1303
228	0.25	77	77	0	0	3/4	1	2	1/16		1/16	1		-1	65	1301
913/4	0.25	77	77	1/16	1/16	3/4	1	1	1/16		1/16	1		0	72	1290
457/2	0.25	77	77	1/8	1/8	3/4	1	1	1/16		1/16	1		5	71	1291
915/4	0.25	77	77	3/16	3/16	3/4	1	1	1/16		1/16	1		-2	70	1292
229	0.25	77	77	1/4	1/4	3/4	1	1	1/16		1/16	1		3	69	1293
917/4	0.25	77	77	5/16	5/16	3/4	1	1	1/16		1/16	1		-4	68	1294
459/2	0.25	77	77	3/8	3/8	3/4	1	1	1/16		1/16	1		1	67	1295
919/4	0.25	77	77	7/16	7/16	3/4	1	1	1/16		1/16	1		-1	65	1296
230	0.0	77	77	1/2	1/2	3/4	1	1	0	grace16	1/16	1		3	69	1297
230	1.0	77	77	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	1304
230	1.0	77	77	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	1304
230	1.0	77	77	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64	1302
230	0.5	77	77	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	1298
461/2	0.25	77	77	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	1299
923/4	0.25	77	77	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	1300
231	0.5	78	78	0	0	3/4	2	1	1/8		1/8	1		-1	53	1310
231	0.5	78	78	0	0	3/4	2	1	1/8		1/8	1		3	57	1310
231	0.5	78	78	0	0	3/4	1	2	1/8		1/8	1		-1	65	1309
463/2	1.0	78	78	1/8	1/8	3/4	1	1	1/4		1/4	1		3	57	1305
463/2	1.0	78	78	1/8	1/8	3/4	1	1	1/4		1/4	1		0	60	1305
232	0.5	78	78	1/4	1/4	3/4	2	1	1/8		1/8	1		3	33	1311
232	0.5	78	78	1/4	1/4	3/4	2	1	1/8		1/8	1		3	45	1311
465/2	0.5	78	78	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	53	1306
465/2	0.5	78	78	3/8	3/8	3/4	1	1	1/8		1/8	1		3	57	1306
233	0.5	78	78	1/2	1/2	3/4	2	1	1/8		1/8	1		0	36	1312
233	0.5	78	78	1/2	1/2	3/4	2	1	1/8		1/8	1		0	48	1312
233	0.5	78	78	1/2	1/2	3/4	1	1	1/8		1/8	1		4	52	1307
233	0.5	78	78	1/2	1/2	3/4	1	1	1/8		1/8	1		1	55	1307
467/2	0.5	78	78	5/8	5/8	3/4	1	1	1/8		1/8	1		1	55	1308
467/2	0.5	78	78	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	58	1308
234	2.0	79	79	0	0	3/4	2	1	1/2		1/2	1		-1	41	1315
234	2.0	79	79	0	0	3/4	2	1	1/2		1/2	1		0	48	1315
234	2.0	79	79	0	0	3/4	1	1	1/2		1/2	1		4	52	1313
234	2.0	79	79	0	0	3/4	1	1	1/2		1/2	1		1	55	1313
234	2.0	79	79	0	0	3/4	1	1	1/2		1/2	1		-2	58	1313
236	0.5	79	79	1/2	1/2	3/4	2	1	1/8		1/8	1		-1	41	1316
236	0.5	79	79	1/2	1/2	3/4	2	1	1/8		1/8	1		0	48	1316
236	0.5	79	79	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	53	1314
236	0.5	79	79	1/2	1/2	3/4	1	1	1/8		1/8	1		3	57	1314
